ngrams,freq,prop
lol im ,44,1.97E-05
one guy ,44,1.97E-05
guy just ,44,1.97E-05
can call ,44,1.97E-05
go far ,44,1.97E-05
may just ,44,1.97E-05
u see ,44,1.97E-05
go eat ,43,1.92E-05
use one ,43,1.92E-05
go lol ,43,1.92E-05
th pm ,43,1.92E-05
even go ,43,1.92E-05
fb page ,43,1.92E-05
hey hey ,43,1.92E-05
one hand ,43,1.92E-05
yes just ,43,1.92E-05
y u ,43,1.92E-05
one els ,43,1.92E-05
th th ,43,1.92E-05
day know ,43,1.92E-05
now one ,42,1.88E-05
now say ,42,1.88E-05
u say ,42,1.88E-05
one big ,42,1.88E-05
got see ,42,1.88E-05
get big ,42,1.88E-05
haha know ,42,1.88E-05
get car ,42,1.88E-05
end year ,41,1.83E-05
know now ,41,1.83E-05
mad men ,41,1.83E-05
also use ,41,1.83E-05
year one ,41,1.83E-05
know say ,41,1.83E-05
lol yes ,41,1.83E-05
man just ,41,1.83E-05
wow just ,41,1.83E-05
guy get ,41,1.83E-05
oh ok ,41,1.83E-05
can eat ,41,1.83E-05
got lot ,41,1.83E-05
come way ,40,1.79E-05
life can ,40,1.79E-05
now got ,40,1.79E-05
now rt ,40,1.79E-05
bad ass ,40,1.79E-05
oh wow ,40,1.79E-05
let see ,40,1.79E-05
lay bed ,40,1.79E-05
year can ,40,1.79E-05
week get ,39,1.74E-05
th st ,39,1.74E-05
get high ,39,1.74E-05
oh know ,39,1.74E-05
mom just ,39,1.74E-05
guy can ,39,1.74E-05
way just ,39,1.74E-05
come just ,39,1.74E-05
i鈥檓 go ,39,1.74E-05
haha oh ,38,1.70E-05
haha rt ,38,1.70E-05
buy new ,38,1.70E-05
dm us ,38,1.70E-05
oh boy ,38,1.70E-05
get u ,38,1.70E-05
mom dad ,38,1.70E-05
get em ,38,1.70E-05
day u ,38,1.70E-05
go run ,38,1.70E-05
can even ,38,1.70E-05
can ask ,38,1.70E-05
yes know ,38,1.70E-05
got go ,38,1.70E-05
d rt ,38,1.70E-05
get ur ,38,1.70E-05
just ate ,38,1.70E-05
got call ,37,1.65E-05
rt hey ,37,1.65E-05
can now ,37,1.65E-05
woo hoo ,37,1.65E-05
tim tebow ,37,1.65E-05
can handl ,37,1.65E-05
get call ,37,1.65E-05
see go ,37,1.65E-05
c u ,37,1.65E-05
get now ,37,1.65E-05
go fun ,36,1.61E-05
one lol ,36,1.61E-05
got get ,36,1.61E-05
two new ,36,1.61E-05
get just ,36,1.61E-05
u lol ,36,1.61E-05
can add ,36,1.61E-05
ya know ,36,1.61E-05
week just ,36,1.61E-05
st charl ,36,1.61E-05
guy know ,36,1.61E-05
go buy ,36,1.61E-05
year just ,36,1.61E-05
鈥c just ,36,1.61E-05
can meet ,36,1.61E-05
it鈥檚 just ,36,1.61E-05
anyth can ,35,1.57E-05
march mad ,35,1.57E-05
one man ,35,1.57E-05
bad guy ,35,1.57E-05
one care ,35,1.57E-05
us now ,35,1.57E-05
can one ,35,1.57E-05
yrs ago ,35,1.57E-05
yes sir ,35,1.57E-05
labor day ,35,1.57E-05
one say ,35,1.57E-05
get rt ,35,1.57E-05
lol 鈥c ,35,1.57E-05
day enjoy ,35,1.57E-05
now u ,35,1.57E-05
tip day ,35,1.57E-05
six year ,35,1.57E-05
one come ,35,1.57E-05
end week ,35,1.57E-05
got job ,35,1.57E-05
come now ,35,1.57E-05
come end ,34,1.52E-05
got done ,34,1.52E-05
man can ,34,1.52E-05
la la ,34,1.52E-05
see lot ,34,1.52E-05
come week ,34,1.52E-05
see come ,34,1.52E-05
tri go ,34,1.52E-05
