name,freq
piec,738
consid,734
health,734
grow,733
price,731
step,728
age,725
figur,725
govern,723
knew,722
wine,718
gone,717
hurt,716
april,715
sever,715
ball,712
smile,712
avail,711
cost,711
board,710
featur,710
chicago,709
quick,709
worri,709
club,708
histori,708
blue,707
usual,705
brother,701
studi,700
town,700
laugh,698
tuesday,697
cant,696
shoot,696
race,695
websit,695
bro,691
christma,689
color,689
worth,689
door,687
current,686
hang,686
level,685
catch,683
voic,683
won,683
march,682
mine,681
updat,681
cute,680
surpris,678
aint,674
gave,674
human,674
major,674
cri,673
five,669
challeng,668
focus,668
rule,668
sing,667
fine,666
ride,666
front,663
easi,662
teacher,662
interview,660
educ,659
court,658
custom,657
organ,657
i’m,655
sick,655
gift,654
lmao,654
artist,652
strong,652
roll,651
natur,649
death,647
comment,646
certain,645
confer,645
connect,645
result,645
air,644
charg,644
accord,643
messag,643
score,642
dead,641
track,641
holiday,639
huge,639
suggest,639
brown,638
sport,637
travel,637
cold,636
mark,636
child,635
lie,633
pull,632
rather,632
bless,628
forc,628
charact,627
kick,627
reach,627
safe,626
howev,623
control,621
tune,621
dad,620
tip,620
detail,618
appear,617
heat,616
bore,615
pic,615
clean,613
increas,613
rate,612
announc,611
decis,611
opportun,611
dress,610
general,610
author,608
discuss,608
york,607
sell,604
librari,603
app,602
cook,600
fill,600
notic,600
south,600
ice,599
mad,599
met,599
tast,599
exact,598
respons,598
sister,598
wit,597
across,595
tax,594
polit,593
shout,593
view,591
west,591
session,590
album,589
sens,588
action,587
tour,587
especi,586
type,586
pain,585
america,584
stupid,584
church,582
process,581
round,580
form,579
hello,579
sent,578
bout,576
effect,576
count,572
wake,572
wednesday,572
wife,571
throw,570
rais,569
space,569
spot,569
larg,568
mix,567
relat,567
requir,567
proud,566
former,565
hahaha,563
touch,562
whether,562
insid,560
field,559
remind,559
fit,558
ill,558
sun,557
collect,556
attend,555
box,555
dear,555
mile,553
prepar,553
fail,552
teach,552
cup,549
imagin,549
north,548
choic,545
review,544
research,541
war,541
award,540
austin,538
felt,537
talent,537
folk,536
involv,535
given,533
absolut,532
judg,531
via,531
suppos,530
block,528
king,527
relationship,527
accept,526
anyway,526
bank,526
search,526
info,524
activ,523
wall,523
district,522
memori,522
radio,522
alon,521
entir,521
fund,521
tabl,520
wed,519
limit,518
trust,518
truth,518
energi,517
fast,517
origin,517
contact,516
host,516
intern,515
nigga,515
taken,515
third,515
daughter,514
fair,514
till,514
unit,512
restaur,510
treat,510
within,510
bowl,509
footbal,509
remain,509
spent,509
articl,507
googl,507
key,507
produc,506
fear,504
promis,504
although,503
paint,502
low,501
yea,501
director,500
cat,499
longer,499
fli,496
forev,496
extra,495
main,495
sex,493
dark,492
comput,490
ugh,488
everybodi,487
afternoon,483
middl,481
term,481
bag,480
improv,480
joke,479
weird,479
anymor,478
chicken,477
feder,476
schedul,476
valu,476
pack,475
six,475
network,474
trade,474
whatev,474
cuz,471
leader,471
push,471
stage,471
respect,469
smoke,469
father,467
protect,467
among,465
chocol,465
bought,464
exist,464
loss,464
secur,463
worst,463
beach,462
concert,461
depart,461
benefit,460
glass,460
scene,460
style,460
locat,458
tho,458
convers,457
defens,457
recommend,455
june,453
studio,453
winner,453
fresh,452
juli,452
seat,452
episod,451
peac,451
ground,450
bet,449
carri,448
deserv,448
snow,448
titl,448
arriv,446
jump,446
land,445
concern,444
due,444
feet,444
straight,444
effort,443
jesus,443
ppl,443
attack,442
campaign,442
choos,442
cross,442
david,442
retweet,442
chris,441
internet,441
cake,439
doubl,439
hospit,439
known,439
angel,438
press,438
except,436
